# 982 Renju five-move openings, ascending 1-blackActual-whiteActual.
# GTP coordinates: column I is skipped; black moves first. See README.md.
# Source: renju500k_ratio_0.5_to_2_sorted_by_drawrate.csv; strict 0.5 < B/W < 2.
# B(+8) and W(-8) are independent 500k evaluations; inferred D can be negative.
15 D12 E11 B11 D14 F11 # opening-32881 B=0.243682622 W=0.136871603 D=0.619445775
15 E1 C1 D1 G1 H4 # opening-0674 B=0.242952432 W=0.137215512 D=0.619832057
15 N12 M11 L11 K11 K10 # opening-5296 B=0.214532213 W=0.163696861 D=0.621770926
15 O3 O2 M4 L5 N5 # opening-37910 B=0.147609360 W=0.228031863 D=0.624358777
15 A11 A10 D1 E1 D11 # opening-19305 B=0.131113559 W=0.243697384 D=0.625189057
15 D7 C6 C7 E9 E8 # opening-11548 B=0.129659234 W=0.244656659 D=0.625684107
15 K14 K15 J14 L14 M13 # opening-12597 B=0.187451020 W=0.185959755 D=0.626589225
15 L13 L14 N12 M14 M13 # opening-20655 B=0.239794825 W=0.133126845 D=0.627078329
15 B3 A3 C3 C2 B4 # opening-11768 B=0.142750491 W=0.229340636 D=0.627908873
15 C6 B6 B7 A2 D2 # opening-29550 B=0.154300002 W=0.217566160 D=0.628133837
15 D13 F12 F13 C12 D12 # opening-19205 B=0.125750342 W=0.245688210 D=0.628561448
15 P13 O14 M14 N14 M12 # opening-33293 B=0.232815242 W=0.138602769 D=0.628581989
15 A12 A11 B10 B7 B11 # opening-4906 B=0.146284480 W=0.222073520 D=0.631642000
15 H12 H11 J12 J13 G10 # opening-22109 B=0.128611108 W=0.239077968 D=0.632310923
15 O5 N5 O4 P5 N6 # opening-39937 B=0.177354858 W=0.190219871 D=0.632425271
15 D8 D7 F7 L5 P5 # opening-6664 B=0.203362595 W=0.164118984 D=0.632518421
15 M12 M13 K10 L11 M9 # opening-11752 B=0.219198062 W=0.148099225 D=0.632702714
15 L5 M5 M4 O5 N4 # opening-22061 B=0.179608061 W=0.187660941 D=0.632730998
15 O5 P5 M5 L5 O4 # opening-15111 B=0.181569757 W=0.184714626 D=0.633715618
15 C13 B13 C10 B11 B12 # opening-49261 B=0.134835190 W=0.230072360 D=0.635092450
15 L1 K1 L2 H1 L3 # opening-35115 B=0.202246248 W=0.161410877 D=0.636342875
15 J2 J1 H4 K2 N1 # opening-17878 B=0.150072663 W=0.213521481 D=0.636405857
15 P5 P8 N5 N4 M5 # opening-44285 B=0.168002570 W=0.195371388 D=0.636626043
15 N13 K14 M12 O13 L13 # opening-43969 B=0.199887536 W=0.162662948 D=0.637449516
15 O2 P3 O3 N2 M3 # opening-12991 B=0.169282052 W=0.193227244 D=0.637490704
15 E12 C14 C15 E13 D12 # opening-13603 B=0.174282730 W=0.187773994 D=0.637943276
15 O8 O7 M10 P9 P6 # opening-35744 B=0.227915723 W=0.133492436 D=0.638591841
15 M7 M8 N8 M5 K8 # opening-47352 B=0.219600644 W=0.141709919 D=0.638689437
15 M10 O14 P8 J10 M11 # opening-22691 B=0.177347070 W=0.183681924 D=0.638971006
15 N8 M8 L9 L7 K7 # opening-8335 B=0.226095625 W=0.134616095 D=0.639288280
15 K5 J5 K4 J2 H3 # opening-18882 B=0.235766331 W=0.124599308 D=0.639634360
15 B14 A15 C13 A14 D14 # opening-0448 B=0.232381559 W=0.127981759 D=0.639636682
15 G14 F14 E14 G15 D13 # opening-35463 B=0.233114929 W=0.126617386 D=0.640267684
15 E6 D5 F7 D6 E5 # opening-42654 B=0.168632253 W=0.191046687 D=0.640321060
15 F11 F12 D12 G13 E13 # opening-20250 B=0.146827348 W=0.212625054 D=0.640547598
15 N4 O5 N7 L7 L6 # opening-47685 B=0.133042300 W=0.225925787 D=0.641031913
15 D1 B2 E2 C2 E3 # opening-26319 B=0.195954952 W=0.162829662 D=0.641215387
15 C12 C13 D11 C10 C11 # opening-40117 B=0.183831703 W=0.173639658 D=0.642528638
15 C14 A13 B14 C13 D10 # opening-39628 B=0.214218877 W=0.143221885 D=0.642559238
15 F3 E3 E4 H4 G4 # opening-34223 B=0.127841670 W=0.229315252 D=0.642843078
15 O3 P2 N2 N1 M2 # opening-20846 B=0.163255733 W=0.192598149 D=0.644146118
15 A9 A10 A11 A12 C9 # opening-1765 B=0.183088478 W=0.171819797 D=0.645091725
15 O12 N8 M8 N12 N10 # opening-22357 B=0.195425465 W=0.158301474 D=0.646273061
15 F1 B5 C4 H1 C5 # opening-20390 B=0.147245117 W=0.206407473 D=0.646347410
15 C8 B8 C9 C7 D7 # opening-7717 B=0.179844069 W=0.173589175 D=0.646566756
15 N13 N12 L13 N14 K13 # opening-10965 B=0.195144395 W=0.158090331 D=0.646765274
15 E15 C15 E14 D15 C14 # opening-44036 B=0.151482373 W=0.201663855 D=0.646853771
15 G10 F10 H10 E10 F11 # opening-15801 B=0.122830755 W=0.229931520 D=0.647237726
15 E12 F12 F11 D11 F10 # opening-2990 B=0.155917133 W=0.196638005 D=0.647444862
15 L12 L13 M13 F11 G11 # opening-0296 B=0.202248828 W=0.149355036 D=0.648396137
15 M15 N13 M12 N14 L11 # opening-1775 B=0.199620437 W=0.151642662 D=0.648736900
15 L13 K13 L12 J12 H11 # opening-49194 B=0.124781837 W=0.226161668 D=0.649056495
15 J14 J15 L14 K14 K13 # opening-7243 B=0.183978777 W=0.166761918 D=0.649259305
15 E12 C12 E14 D12 F14 # opening-47808 B=0.224578168 W=0.125910392 D=0.649511440
15 K9 L9 M9 K12 L12 # opening-16302 B=0.227962537 W=0.122508003 D=0.649529460
15 E11 C9 C8 E9 D9 # opening-11303 B=0.200067015 W=0.150122977 D=0.649810009
15 O11 P12 N13 M11 L12 # opening-40322 B=0.182282235 W=0.166718384 D=0.650999381
15 G3 G2 F2 F1 C2 # opening-22106 B=0.192099914 W=0.156654067 D=0.651246019
15 H11 G12 F12 H12 G13 # opening-6824 B=0.203695915 W=0.144929321 D=0.651374764
15 N13 O13 N12 O12 M13 # opening-49243 B=0.135300371 W=0.212738404 D=0.651961226
15 M12 N13 O14 N14 N12 # opening-30091 B=0.127567527 W=0.219596725 D=0.652835748
15 J15 G15 J12 H13 L10 # opening-20123 B=0.170247862 W=0.176625380 D=0.653126758
15 H11 J11 K12 F9 G12 # opening-40699 B=0.219490629 W=0.127092759 D=0.653416612
15 K12 J13 K13 M13 K14 # opening-18918 B=0.214363379 W=0.132189157 D=0.653447463
15 H5 H4 O4 O3 J4 # opening-40094 B=0.176495794 W=0.169578477 D=0.653925728
15 G7 F4 H4 E5 D6 # opening-30612 B=0.216402032 W=0.129335554 D=0.654262414
15 F15 F14 E13 D15 D13 # opening-43288 B=0.201830748 W=0.143319088 D=0.654850164
15 N4 N3 O4 P5 O3 # opening-47850 B=0.115988990 W=0.228905661 D=0.655105349
15 M4 M7 L7 L4 L6 # opening-48122 B=0.116303826 W=0.227978938 D=0.655717236
15 C5 C7 B5 B4 C4 # opening-49607 B=0.196809536 W=0.147451123 D=0.655739341
15 B10 D11 D10 D12 E10 # opening-13169 B=0.219289637 W=0.122805788 D=0.657904575
15 C13 C14 D13 E14 E13 # opening-11355 B=0.202150904 W=0.139636853 D=0.658212243
15 J3 H3 H6 H2 G3 # opening-36486 B=0.121784091 W=0.219909283 D=0.658306626
15 M5 N6 M6 O8 M10 # opening-46472 B=0.220432298 W=0.120365112 D=0.659202591
15 C4 D2 E2 D3 D4 # opening-15408 B=0.113852744 W=0.225677200 D=0.660470056
15 O5 O6 N6 P2 O4 # opening-10189 B=0.123092032 W=0.216390958 D=0.660517011
15 C13 A11 B11 C12 B10 # opening-30665 B=0.147369333 W=0.191396560 D=0.661234107
15 L3 K5 L2 L1 L4 # opening-5002 B=0.136632876 W=0.201965938 D=0.661401185
15 K11 H12 G11 H11 H10 # opening-27516 B=0.160674099 W=0.177287252 D=0.662038648
15 F4 C3 F5 F3 C4 # opening-2905 B=0.193483667 W=0.143793420 D=0.662722913
15 H6 J5 H5 G6 G7 # opening-13339 B=0.183942877 W=0.152748530 D=0.663308592
15 O14 P14 N14 O15 M14 # opening-29374 B=0.209520536 W=0.126882721 D=0.663596743
15 C3 A3 C2 D3 E4 # opening-39156 B=0.140941688 W=0.195360078 D=0.663698234
15 G8 H8 H7 K5 K4 # opening-40667 B=0.113406149 W=0.222458199 D=0.664135652
15 G1 H2 J2 H1 E5 # opening-11975 B=0.113706640 W=0.220805205 D=0.665488156
15 M15 O15 N10 O14 O13 # opening-41078 B=0.136119992 W=0.198181592 D=0.665698415
15 M7 M6 N7 L6 L7 # opening-44821 B=0.222757250 W=0.111460944 D=0.665781807
